 [0]: Zostałem postrzelony, Chcę naprawę, lamport = 0
 [1]: Zostałem postrzelony, Chcę naprawę, lamport = 0
 [0]: Wysyłam Potrzebe doku do 0, lamport = 1
 [0]: Otrzymałem Potwierdzenie o Doku od 0, lamport = 3
 [2]: Otrzymałem Potrzebe doku od 1, lamport = 3
 [2]: Wysyłam Potwierdzenie o Doku do 1, lamport = 3
 [3]: Otrzymałem Potrzebe doku od 1, lamport = 3
 [3]: Wysyłam Potwierdzenie o Doku do 1, lamport = 3
 [5]: Otrzymałem Potrzebe doku od 1, lamport = 3
 [5]: Wysyłam Potwierdzenie o Doku do 1, lamport = 3
 [1]: Otrzymałem Potrzebe doku od 1, lamport = 3
 [1]: Wysyłam Potwierdzenie o Doku do 1, lamport = 3
 [6]: Otrzymałem Potrzebe doku od 1, lamport = 3
 [6]: Wysyłam Potwierdzenie o Doku do 1, lamport = 3
 [7]: Otrzymałem Potrzebe doku od 1, lamport = 3
 [7]: Wysyłam Potwierdzenie o Doku do 1, lamport = 3
 [4]: Otrzymałem Potrzebe doku od 1, lamport = 3
 [4]: Wysyłam Potwierdzenie o Doku do 1, lamport = 3
 [0]: Otrzymałem Potrzebe doku od 1, lamport = 4
 [0]: Wysyłam Potwierdzenie o Doku do 1, lamport = 4
 [1]: Otrzymałem Potwierdzenie o Doku od 1, lamport = 4
 [0]: Otrzymałem Potwierdzenie o Doku od 2, lamport = 5
 [1]: Otrzymałem Potwierdzenie o Doku od 2, lamport = 5
 [0]: Otrzymałem Potwierdzenie o Doku od 5, lamport = 6
 [1]: Otrzymałem Potwierdzenie o Doku od 3, lamport = 6
 [0]: Otrzymałem Potwierdzenie o Doku od 3, lamport = 7
 [1]: Otrzymałem Potwierdzenie o Doku od 4, lamport = 7
 [0]: Otrzymałem Potwierdzenie o Doku od 1, lamport = 8
 [1]: Otrzymałem Potwierdzenie o Doku od 5, lamport = 8
 [0]: Otrzymałem Potwierdzenie o Doku od 4, lamport = 9
 [1]: Otrzymałem Potwierdzenie o Doku od 6, lamport = 9
 [0]: Otrzymałem Potwierdzenie o Doku od 7, lamport = 10
 [1]: Otrzymałem Potwierdzenie o Doku od 7, lamport = 10
 [0]: Otrzymałem Potwierdzenie o Doku od 6, lamport = 11
 [0]: Wylądowałem w doku, Jestem w sekcji krytycznej 1, lamport = 11
 [1]: Otrzymałem Potwierdzenie o Doku od 0, lamport = 11
 [0]: Wysyłam Potrzebe Mechaników do 0, lamport = 12
 [0]: Wysyłam Potrzebe Mechaników do 1, lamport = 12
 [0]: Wysyłam Potrzebe Mechaników do 2, lamport = 12
 [0]: Wysyłam Potrzebe Mechaników do 3, lamport = 12
 [0]: Wysyłam Potrzebe Mechaników do 4, lamport = 12
 [0]: Wysyłam Potrzebe Mechaników do 5, lamport = 12
 [0]: Wysyłam Potrzebe Mechaników do 6, lamport = 12
 [0]: Wysyłam Potrzebe Mechaników do 7, lamport = 12
 [0]: Żadanie o 9 Mechaników poszło do wszystkich, Chcę dostęp do sekcji krytycznej 2, lamport = 12
 [4]: Otrzymałem Potrzebe Mechaników od 0, lamport = 13
 [7]: Otrzymałem Potrzebe Mechaników od 0, lamport = 13
 [7]: Wysyłam Potwierdzenie o Mechanikach do 0, lamport = 13
 [5]: Otrzymałem Potrzebe Mechaników od 0, lamport = 13
 [5]: Wysyłam Potwierdzenie o Mechanikach do 0, lamport = 13
 [2]: Otrzymałem Potrzebe Mechaników od 0, lamport = 13
 [2]: Wysyłam Potwierdzenie o Mechanikach do 0, lamport = 13
 [4]: Wysyłam Potwierdzenie o Mechanikach do 0, lamport = 13
 [3]: Otrzymałem Potrzebe Mechaników od 0, lamport = 13
 [3]: Wysyłam Potwierdzenie o Mechanikach do 0, lamport = 13
 [6]: Otrzymałem Potrzebe Mechaników od 0, lamport = 13
 [6]: Wysyłam Potwierdzenie o Mechanikach do 0, lamport = 13
 [0]: Otrzymałem Potrzebe Mechaników od 0, lamport = 13
 [0]: Wysyłam Potwierdzenie o Mechanikach do 0, lamport = 13
 [1]: Otrzymałem Potrzebe Mechaników od 0, lamport = 13
 [1]: Wysyłam Potwierdzenie o Mechanikach do 0, lamport = 13
 [1]: Wylądowałem w doku, Jestem w sekcji krytycznej 1, lamport = 13
 [0]: Otrzymałem Potwierdzenie o Mechanikach od 0, lamport = 14
 [1]: Wysyłam Potrzebe Mechaników do 0, lamport = 14
 [1]: Wysyłam Potrzebe Mechaników do 1, lamport = 14
 [1]: Wysyłam Potrzebe Mechaników do 2, lamport = 14
 [1]: Wysyłam Potrzebe Mechaników do 3, lamport = 14
 [1]: Wysyłam Potrzebe Mechaników do 4, lamport = 14
 [1]: Wysyłam Potrzebe Mechaników do 5, lamport = 14
 [1]: Wysyłam Potrzebe Mechaników do 6, lamport = 14
 [1]: Wysyłam Potrzebe Mechaników do 7, lamport = 14
 [1]: Żadanie o 23 Mechaników poszło do wszystkich, Chcę dostęp do sekcji krytycznej 2, lamport = 14
 [0]: Otrzymałem Potwierdzenie o Mechanikach od 2, lamport = 15
 [3]: Otrzymałem Potrzebe Mechaników od 1, lamport = 15
 [3]: Wysyłam Potwierdzenie o Mechanikach do 1, lamport = 15
 [6]: Otrzymałem Potrzebe Mechaników od 1, lamport = 15
 [6]: Wysyłam Potwierdzenie o Mechanikach do 1, lamport = 15
 [7]: Otrzymałem Potrzebe Mechaników od 1, lamport = 15
 [7]: Wysyłam Potwierdzenie o Mechanikach do 1, lamport = 15
 [5]: Otrzymałem Potrzebe Mechaników od 1, lamport = 15
 [5]: Wysyłam Potwierdzenie o Mechanikach do 1, lamport = 15
 [2]: Otrzymałem Potrzebe Mechaników od 1, lamport = 15
 [2]: Wysyłam Potwierdzenie o Mechanikach do 1, lamport = 15
 [4]: Otrzymałem Potrzebe Mechaników od 1, lamport = 15
 [4]: Wysyłam Potwierdzenie o Mechanikach do 1, lamport = 15
 [1]: Otrzymałem Potrzebe Mechaników od 1, lamport = 15
 [1]: Wysyłam Potwierdzenie o Mechanikach do 1, lamport = 15
 [3]: Zostałem postrzelony, Chcę naprawę, lamport = 15
 [0]: Otrzymałem Potwierdzenie o Mechanikach od 1, lamport = 16
 [1]: Otrzymałem Potwierdzenie o Mechanikach od 1, lamport = 16
 [3]: Wysyłam Potrzebe doku do 0, lamport = 16
 [3]: Wysyłam Potrzebe doku do 1, lamport = 16
 [3]: Wysyłam Potrzebe doku do 2, lamport = 16
 [3]: Wysyłam Potrzebe doku do 3, lamport = 16
 [3]: Wysyłam Potrzebe doku do 4, lamport = 16
 [3]: Wysyłam Potrzebe doku do 5, lamport = 16
 [3]: Wysyłam Potrzebe doku do 6, lamport = 16
 [3]: Wysyłam Potrzebe doku do 7, lamport = 16
 [3]: Żądanie o dok poszło do wszystkich, Chcę dostęp do sekcji krytycznej 1, lamport = 16
 [0]: Otrzymałem Potwierdzenie o Mechanikach od 3, lamport = 17
 [1]: Otrzymałem Potwierdzenie o Mechanikach od 2, lamport = 17
 [2]: Otrzymałem Potrzebe doku od 3, lamport = 17
 [2]: Wysyłam Potwierdzenie o Doku do 3, lamport = 17
 [3]: Otrzymałem Potrzebe doku od 3, lamport = 17
 [3]: Wysyłam Potwierdzenie o Doku do 3, lamport = 17
 [4]: Otrzymałem Potrzebe doku od 3, lamport = 17
 [4]: Wysyłam Potwierdzenie o Doku do 3, lamport = 17
 [6]: Otrzymałem Potrzebe doku od 3, lamport = 17
 [6]: Wysyłam Potwierdzenie o Doku do 3, lamport = 17
 [7]: Otrzymałem Potrzebe doku od 3, lamport = 17
 [7]: Wysyłam Potwierdzenie o Doku do 3, lamport = 17
 [5]: Otrzymałem Potrzebe doku od 3, lamport = 17
 [5]: Wysyłam Potwierdzenie o Doku do 3, lamport = 17
 [0]: Otrzymałem Potwierdzenie o Mechanikach od 4, lamport = 18
 [1]: Otrzymałem Potwierdzenie o Mechanikach od 3, lamport = 18
 [3]: Otrzymałem Potwierdzenie o Doku od 3, lamport = 18
 [0]: Otrzymałem Potwierdzenie o Mechanikach od 5, lamport = 19
 [1]: Otrzymałem Potwierdzenie o Mechanikach od 4, lamport = 19
 [0]: Otrzymałem Potwierdzenie o Mechanikach od 6, lamport = 20
 [1]: Otrzymałem Potwierdzenie o Mechanikach od 5, lamport = 20
 [0]: Otrzymałem Potwierdzenie o Mechanikach od 7, lamport = 21
 [1]: Otrzymałem Potwierdzenie o Mechanikach od 6, lamport = 21
 [0]: Otrzymałem Potrzebe Mechaników od 1, lamport = 22
 [0]: Wysyłam Potwierdzenie o Mechanikach do 1, lamport = 22
 [1]: Otrzymałem Potwierdzenie o Mechanikach od 7, lamport = 22
 [0]: Dostałem 9 Mechaników, start naprawy, Jestem w sekcji krytycznej 2, lamport = 22
 [1]: Otrzymałem Potwierdzenie o Mechanikach od 0, lamport = 23
 [1]: Dostałem 23 Mechaników, start naprawy, Jestem w sekcji krytycznej 2, lamport = 23
 [0]: Otrzymałem Potrzebe doku od 3, lamport = 23
 [0]: Wysyłam Potwierdzenie o Doku do 3, lamport = 23
 [1]: Otrzymałem Potrzebe doku od 3, lamport = 24
 [1]: Wysyłam Potwierdzenie o Doku do 3, lamport = 24
 [3]: Otrzymałem Potwierdzenie o Doku od 1, lamport = 25
 [3]: Otrzymałem Potwierdzenie o Doku od 4, lamport = 26
 [3]: Otrzymałem Potwierdzenie o Doku od 5, lamport = 27
 [3]: Otrzymałem Potwierdzenie o Doku od 6, lamport = 28
 [3]: Otrzymałem Potwierdzenie o Doku od 7, lamport = 29
 [3]: Otrzymałem Potwierdzenie o Doku od 0, lamport = 30
 [3]: Otrzymałem Potwierdzenie o Doku od 2, lamport = 31
 [3]: Wylądowałem w doku, Jestem w sekcji krytycznej 1, lamport = 31
 [3]: Wysyłam Potrzebe Mechaników do 0, lamport = 32
 [3]: Wysyłam Potrzebe Mechaników do 1, lamport = 32
 [3]: Wysyłam Potrzebe Mechaników do 2, lamport = 32
 [3]: Wysyłam Potrzebe Mechaników do 3, lamport = 32
 [3]: Wysyłam Potrzebe Mechaników do 4, lamport = 32
 [3]: Wysyłam Potrzebe Mechaników do 5, lamport = 32
 [3]: Wysyłam Potrzebe Mechaników do 6, lamport = 32
 [3]: Wysyłam Potrzebe Mechaników do 7, lamport = 32
 [3]: Żadanie o 16 Mechaników poszło do wszystkich, Chcę dostęp do sekcji krytycznej 2, lamport = 32
 [0]: Otrzymałem Potrzebe Mechaników od 3, lamport = 33
 [0]: Wysyłam Potwierdzenie o Mechanikach do 3, lamport = 33
 [2]: Otrzymałem Potrzebe Mechaników od 3, lamport = 33
 [2]: Wysyłam Potwierdzenie o Mechanikach do 3, lamport = 33
 [1]: Otrzymałem Potrzebe Mechaników od 3, lamport = 33
 [1]: Wysyłam Potwierdzenie o Mechanikach do 3, lamport = 33
 [4]: Otrzymałem Potrzebe Mechaników od 3, lamport = 33
 [4]: Wysyłam Potwierdzenie o Mechanikach do 3, lamport = 33
 [5]: Otrzymałem Potrzebe Mechaników od 3, lamport = 33
 [5]: Wysyłam Potwierdzenie o Mechanikach do 3, lamport = 33
 [6]: Otrzymałem Potrzebe Mechaników od 3, lamport = 33
 [6]: Wysyłam Potwierdzenie o Mechanikach do 3, lamport = 33
 [7]: Otrzymałem Potrzebe Mechaników od 3, lamport = 33
 [7]: Wysyłam Potwierdzenie o Mechanikach do 3, lamport = 33
 [0]: Naprawili mnie, zwalniam mechaników, Wychodzę z sekcji krytycznej 2, lamport = 33
 [3]: Otrzymałem Potwierdzenie o Mechanikach od 0, lamport = 34
 [0]: Wysyłam Zwolnienie trzymanych mechaników do 0, lamport = 34
 [0]: Wysyłam Zwolnienie trzymanych mechaników do 1, lamport = 34
 [0]: Wysyłam Zwolnienie trzymanych mechaników do 2, lamport = 34
 [0]: Wysyłam Zwolnienie trzymanych mechaników do 3, lamport = 34
 [0]: Wysyłam Zwolnienie trzymanych mechaników do 4, lamport = 34
 [0]: Wysyłam Zwolnienie trzymanych mechaników do 5, lamport = 34
 [0]: Wysyłam Zwolnienie trzymanych mechaników do 6, lamport = 34
 [0]: Wysyłam Zwolnienie trzymanych mechaników do 7, lamport = 34
 [0]: Koniec naprawy, zwalniam dok, wracam do walki,Wyszedłem z sekcji krytycznej 2 oraz jestem w trakcie wychodzenia z sekcji krytycznej 1, lamport = 34
 [3]: Otrzymałem Potrzebe Mechaników od 3, lamport = 35
 [3]: Wysyłam Potwierdzenie o Mechanikach do 3, lamport = 35
 [1]: Otrzymałem Zwolnienie trzymanych mechaników od 0, lamport = 35
 [6]: Otrzymałem Zwolnienie trzymanych mechaników od 0, lamport = 35
 [2]: Otrzymałem Zwolnienie trzymanych mechaników od 0, lamport = 35
 [1]: Naprawili mnie, zwalniam mechaników, Wychodzę z sekcji krytycznej 2, lamport = 35
 [4]: Otrzymałem Zwolnienie trzymanych mechaników od 0, lamport = 35
 [7]: Otrzymałem Zwolnienie trzymanych mechaników od 0, lamport = 35
 [0]: Wysyłam Zwalniam dok do 0, lamport = 35
 [0]: Wysyłam Zwalniam dok do 1, lamport = 35
 [5]: Otrzymałem Zwolnienie trzymanych mechaników od 0, lamport = 35
 [0]: Wysyłam Zwalniam dok do 2, lamport = 35
 [0]: Wysyłam Zwalniam dok do 3, lamport = 35
 [0]: Wysyłam Zwalniam dok do 4, lamport = 35
 [0]: Wysyłam Zwalniam dok do 5, lamport = 35
 [0]: Wysyłam Zwalniam dok do 6, lamport = 35
 [0]: Wysyłam Zwalniam dok do 7, lamport = 35
 [3]: Otrzymałem Potwierdzenie o Mechanikach od 3, lamport = 36
 [1]: Otrzymałem Zwalniam dok od 0, lamport = 36
 [0]: Otrzymałem Zwolnienie trzymanych mechaników od 0, lamport = 36
 [3]: Otrzymałem Potwierdzenie o Mechanikach od 1, lamport = 37
 [1]: Wysyłam Zwolnienie trzymanych mechaników do 0, lamport = 37
 [1]: Wysyłam Zwolnienie trzymanych mechaników do 1, lamport = 37
 [1]: Wysyłam Zwolnienie trzymanych mechaników do 2, lamport = 37
 [1]: Wysyłam Zwolnienie trzymanych mechaników do 3, lamport = 37
 [1]: Wysyłam Zwolnienie trzymanych mechaników do 4, lamport = 37
 [1]: Wysyłam Zwolnienie trzymanych mechaników do 5, lamport = 37
 [1]: Wysyłam Zwolnienie trzymanych mechaników do 6, lamport = 37
 [1]: Wysyłam Zwolnienie trzymanych mechaników do 7, lamport = 37
 [1]: Koniec naprawy, zwalniam dok, wracam do walki,Wyszedłem z sekcji krytycznej 2 oraz jestem w trakcie wychodzenia z sekcji krytycznej 1, lamport = 37
 [0]: Otrzymałem Zwalniam dok od 0, lamport = 37
 [3]: Otrzymałem Potwierdzenie o Mechanikach od 4, lamport = 38
 [4]: Otrzymałem Zwolnienie trzymanych mechaników od 1, lamport = 38
 [7]: Otrzymałem Zwolnienie trzymanych mechaników od 1, lamport = 38
 [5]: Otrzymałem Zwolnienie trzymanych mechaników od 1, lamport = 38
 [6]: Otrzymałem Zwolnienie trzymanych mechaników od 1, lamport = 38
 [2]: Otrzymałem Zwolnienie trzymanych mechaników od 1, lamport = 38
 [1]: Wysyłam Zwalniam dok do 0, lamport = 38
 [1]: Wysyłam Zwalniam dok do 1, lamport = 38
 [0]: Otrzymałem Zwolnienie trzymanych mechaników od 1, lamport = 38
 [1]: Wysyłam Zwalniam dok do 2, lamport = 38
 [1]: Wysyłam Zwalniam dok do 3, lamport = 38
 [1]: Wysyłam Zwalniam dok do 4, lamport = 38
 [1]: Wysyłam Zwalniam dok do 5, lamport = 38
 [1]: Wysyłam Zwalniam dok do 6, lamport = 38
 [1]: Wysyłam Zwalniam dok do 7, lamport = 38
 [3]: Otrzymałem Potwierdzenie o Mechanikach od 5, lamport = 39
 [6]: Otrzymałem Zwalniam dok od 0, lamport = 39
 [2]: Otrzymałem Zwalniam dok od 0, lamport = 39
 [4]: Otrzymałem Zwalniam dok od 0, lamport = 39
 [7]: Otrzymałem Zwalniam dok od 0, lamport = 39
 [0]: Otrzymałem Zwalniam dok od 1, lamport = 39
 [5]: Otrzymałem Zwalniam dok od 0, lamport = 39
 [1]: Otrzymałem Zwolnienie trzymanych mechaników od 1, lamport = 39
 [3]: Otrzymałem Potwierdzenie o Mechanikach od 6, lamport = 40
 [2]: Otrzymałem Zwalniam dok od 1, lamport = 40
 [4]: Otrzymałem Zwalniam dok od 1, lamport = 40
 [7]: Otrzymałem Zwalniam dok od 1, lamport = 40
 [5]: Otrzymałem Zwalniam dok od 1, lamport = 40
 [6]: Otrzymałem Zwalniam dok od 1, lamport = 40
 [1]: Otrzymałem Zwalniam dok od 1, lamport = 40
 [6]: Zostałem postrzelony, Chcę naprawę, lamport = 40
 [3]: Otrzymałem Potwierdzenie o Mechanikach od 7, lamport = 41
 [6]: Wysyłam Potrzebe doku do 0, lamport = 41
 [6]: Wysyłam Potrzebe doku do 1, lamport = 41
 [6]: Wysyłam Potrzebe doku do 2, lamport = 41
 [6]: Wysyłam Potrzebe doku do 3, lamport = 41
 [6]: Wysyłam Potrzebe doku do 4, lamport = 41
 [6]: Wysyłam Potrzebe doku do 5, lamport = 41
 [6]: Wysyłam Potrzebe doku do 6, lamport = 41
 [6]: Wysyłam Potrzebe doku do 7, lamport = 41
 [6]: Żądanie o dok poszło do wszystkich, Chcę dostęp do sekcji krytycznej 1, lamport = 41
 [3]: Otrzymałem Potwierdzenie o Mechanikach od 2, lamport = 42
 [0]: Otrzymałem Potrzebe doku od 6, lamport = 42
 [0]: Wysyłam Potwierdzenie o Doku do 6, lamport = 42
 [1]: Otrzymałem Potrzebe doku od 6, lamport = 42
 [1]: Wysyłam Potwierdzenie o Doku do 6, lamport = 42
 [2]: Otrzymałem Potrzebe doku od 6, lamport = 42
 [2]: Wysyłam Potwierdzenie o Doku do 6, lamport = 42
 [4]: Otrzymałem Potrzebe doku od 6, lamport = 42
 [4]: Wysyłam Potwierdzenie o Doku do 6, lamport = 42
 [5]: Otrzymałem Potrzebe doku od 6, lamport = 42
 [5]: Wysyłam Potwierdzenie o Doku do 6, lamport = 42
 [7]: Otrzymałem Potrzebe doku od 6, lamport = 42
 [7]: Wysyłam Potwierdzenie o Doku do 6, lamport = 42
 [4]: Zostałem postrzelony, Chcę naprawę, lamport = 42
 [3]: Otrzymałem Zwolnienie trzymanych mechaników od 0, lamport = 43
 [3]: Dostałem 16 Mechaników, start naprawy, Jestem w sekcji krytycznej 2, lamport = 43
 [6]: Otrzymałem Potwierdzenie o Doku od 0, lamport = 43
 [4]: Wysyłam Potrzebe doku do 0, lamport = 43
 [4]: Wysyłam Potrzebe doku do 1, lamport = 43
 [4]: Wysyłam Potrzebe doku do 2, lamport = 43
 [4]: Wysyłam Potrzebe doku do 3, lamport = 43
 [4]: Wysyłam Potrzebe doku do 4, lamport = 43
 [4]: Wysyłam Potrzebe doku do 5, lamport = 43
 [4]: Wysyłam Potrzebe doku do 6, lamport = 43
 [4]: Wysyłam Potrzebe doku do 7, lamport = 43
 [4]: Żądanie o dok poszło do wszystkich, Chcę dostęp do sekcji krytycznej 1, lamport = 43
 [3]: Otrzymałem Zwolnienie trzymanych mechaników od 1, lamport = 44
 [6]: Otrzymałem Potrzebe doku od 6, lamport = 44
 [6]: Wysyłam Potwierdzenie o Doku do 6, lamport = 44
 [1]: Otrzymałem Potrzebe doku od 4, lamport = 44
 [1]: Wysyłam Potwierdzenie o Doku do 4, lamport = 44
 [2]: Otrzymałem Potrzebe doku od 4, lamport = 44
 [2]: Wysyłam Potwierdzenie o Doku do 4, lamport = 44
 [7]: Otrzymałem Potrzebe doku od 4, lamport = 44
 [7]: Wysyłam Potwierdzenie o Doku do 4, lamport = 44
 [5]: Otrzymałem Potrzebe doku od 4, lamport = 44
 [5]: Wysyłam Potwierdzenie o Doku do 4, lamport = 44
 [0]: Otrzymałem Potrzebe doku od 4, lamport = 44
 [0]: Wysyłam Potwierdzenie o Doku do 4, lamport = 44
 [3]: Otrzymałem Zwalniam dok od 0, lamport = 45
 [6]: Otrzymałem Potwierdzenie o Doku od 6, lamport = 45
 [4]: Otrzymałem Potwierdzenie o Doku od 0, lamport = 45
 [3]: Otrzymałem Zwalniam dok od 1, lamport = 46
 [4]: Otrzymałem Potrzebe doku od 4, lamport = 46
 [4]: Wysyłam Potwierdzenie o Doku do 4, lamport = 46
 [6]: Otrzymałem Potwierdzenie o Doku od 1, lamport = 46
 [3]: Otrzymałem Potrzebe doku od 6, lamport = 47
 [3]: Wysyłam Potwierdzenie o Doku do 6, lamport = 47
 [4]: Otrzymałem Potwierdzenie o Doku od 4, lamport = 47
 [6]: Otrzymałem Potwierdzenie o Doku od 7, lamport = 47
 [3]: Otrzymałem Potrzebe doku od 4, lamport = 48
 [3]: Wysyłam Potwierdzenie o Doku do 4, lamport = 48
 [6]: Otrzymałem Potwierdzenie o Doku od 2, lamport = 48
 [4]: Otrzymałem Potwierdzenie o Doku od 1, lamport = 48
 [6]: Otrzymałem Potwierdzenie o Doku od 3, lamport = 49
 [4]: Otrzymałem Potwierdzenie o Doku od 5, lamport = 49
 [6]: Otrzymałem Potwierdzenie o Doku od 4, lamport = 50
 [6]: Otrzymałem Potwierdzenie o Doku od 5, lamport = 51
 [6]: Otrzymałem Potrzebe doku od 4, lamport = 52
 [6]: Wylądowałem w doku, Jestem w sekcji krytycznej 1, lamport = 52
 [6]: Wysyłam Potwierdzenie o Doku do 4, lamport = 52
 [6]: Wysyłam Potrzebe Mechaników do 0, lamport = 53
 [6]: Wysyłam Potrzebe Mechaników do 1, lamport = 53
 [6]: Wysyłam Potrzebe Mechaników do 2, lamport = 53
 [6]: Wysyłam Potrzebe Mechaników do 3, lamport = 53
 [6]: Wysyłam Potrzebe Mechaników do 4, lamport = 53
 [6]: Wysyłam Potrzebe Mechaników do 5, lamport = 53
 [6]: Wysyłam Potrzebe Mechaników do 6, lamport = 53
 [6]: Wysyłam Potrzebe Mechaników do 7, lamport = 53
 [6]: Żadanie o 30 Mechaników poszło do wszystkich, Chcę dostęp do sekcji krytycznej 2, lamport = 53
 [4]: Otrzymałem Potwierdzenie o Doku od 6, lamport = 53
 [4]: Otrzymałem Potwierdzenie o Doku od 7, lamport = 54
 [1]: Otrzymałem Potrzebe Mechaników od 6, lamport = 54
 [1]: Wysyłam Potwierdzenie o Mechanikach do 6, lamport = 54
 [3]: Otrzymałem Potrzebe Mechaników od 6, lamport = 54
 [3]: Wysyłam Potwierdzenie o Mechanikach do 6, lamport = 54
 [2]: Otrzymałem Potrzebe Mechaników od 6, lamport = 54
 [2]: Wysyłam Potwierdzenie o Mechanikach do 6, lamport = 54
 [7]: Otrzymałem Potrzebe Mechaników od 6, lamport = 54
 [7]: Wysyłam Potwierdzenie o Mechanikach do 6, lamport = 54
 [0]: Otrzymałem Potrzebe Mechaników od 6, lamport = 54
 [0]: Wysyłam Potwierdzenie o Mechanikach do 6, lamport = 54
 [5]: Otrzymałem Potrzebe Mechaników od 6, lamport = 54
 [5]: Wysyłam Potwierdzenie o Mechanikach do 6, lamport = 54
 [6]: Otrzymałem Potwierdzenie o Mechanikach od 0, lamport = 55
 [4]: Otrzymałem Potwierdzenie o Doku od 2, lamport = 55
 [6]: Otrzymałem Potrzebe Mechaników od 6, lamport = 56
 [6]: Wysyłam Potwierdzenie o Mechanikach do 6, lamport = 56
 [4]: Otrzymałem Potwierdzenie o Doku od 3, lamport = 56
 [6]: Otrzymałem Potwierdzenie o Mechanikach od 6, lamport = 57
 [4]: Otrzymałem Potrzebe Mechaników od 6, lamport = 57
 [4]: Wysyłam Potwierdzenie o Mechanikach do 6, lamport = 57
 [4]: Wylądowałem w doku, Jestem w sekcji krytycznej 1, lamport = 57
 [6]: Otrzymałem Potwierdzenie o Mechanikach od 1, lamport = 58
 [4]: Wysyłam Potrzebe Mechaników do 0, lamport = 58
 [4]: Wysyłam Potrzebe Mechaników do 1, lamport = 58
 [4]: Wysyłam Potrzebe Mechaników do 2, lamport = 58
 [4]: Wysyłam Potrzebe Mechaników do 3, lamport = 58
 [4]: Wysyłam Potrzebe Mechaników do 4, lamport = 58
 [4]: Wysyłam Potrzebe Mechaników do 5, lamport = 58
 [4]: Wysyłam Potrzebe Mechaników do 6, lamport = 58
 [4]: Wysyłam Potrzebe Mechaników do 7, lamport = 58
 [4]: Żadanie o 4 Mechaników poszło do wszystkich, Chcę dostęp do sekcji krytycznej 2, lamport = 58
 [0]: Otrzymałem Potrzebe Mechaników od 4, lamport = 59
 [0]: Wysyłam Potwierdzenie o Mechanikach do 4, lamport = 59
 [5]: Otrzymałem Potrzebe Mechaników od 4, lamport = 59
 [5]: Wysyłam Potwierdzenie o Mechanikach do 4, lamport = 59
 [6]: Otrzymałem Potwierdzenie o Mechanikach od 7, lamport = 59
 [1]: Otrzymałem Potrzebe Mechaników od 4, lamport = 59
 [1]: Wysyłam Potwierdzenie o Mechanikach do 4, lamport = 59
 [3]: Otrzymałem Potrzebe Mechaników od 4, lamport = 59
 [3]: Wysyłam Potwierdzenie o Mechanikach do 4, lamport = 59
 [2]: Otrzymałem Potrzebe Mechaników od 4, lamport = 59
 [2]: Wysyłam Potwierdzenie o Mechanikach do 4, lamport = 59
 [7]: Otrzymałem Potrzebe Mechaników od 4, lamport = 59
 [7]: Wysyłam Potwierdzenie o Mechanikach do 4, lamport = 59
 [1]: Zostałem postrzelony, Chcę naprawę, lamport = 59
 [6]: Otrzymałem Potwierdzenie o Mechanikach od 2, lamport = 60
